product_id,name,price,original_price,discount,brand,category,availability,description,,,,,,,,,,
4448,Al Doha Egyptian Rice - 5Kg,187.99  LE,204.99 LE,8.3%,Al Doha,Al Doha,in stock,"The Al Doha Egyptian Rice presents the finest quality, carefully picked grains that would not only beautify your rice-based cuisines but also makes them lip-smacking. Each grain has a polished texture with smooth contours so that it does not become sticky on being cooked. The grains are pre-washed without compromising on the taste, saving your time and energy.",,,,,,,,,,
4452,Indomie Chicken Noodles - 70g,6.5  LE,7.99 LE,18.6%,Indomie,Indomie,in stock,The Indomie Chicken Noodles are a great meal for your outings. The instant noodles require the least preparation time. They pack a great taste and keep you full for the longest.,,,,,,,,,,
4612,Regina Rice Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"The Regina Pasta Rice perfectly complements rice-based cuisines but reveals a hint of the pasta’s semolina essence. Derived from freshly extracted durum wheat semolina, the rice is authentic in flavor and color. These fine-quality grains are easy to boil and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4613,Al Doha Egyptian White Rice - 1Kg,37.99  LE,40.99 LE,7.3%,Al Doha,Al Doha,in stock,"The Al Doha Egyptian White Rice presents the finest quality, carefully picked grains that would not only beautify your rice-based cuisines but also makes them lip-smacking. Each grain has a polished texture with smooth contours so that it does not become sticky on being cooked. The grains are pre-washed without compromising on the taste, saving your time and energy.",,,,,,,,,,
4735,Imtenan Cargo Brown Rice - 750g,79.99  LE,94.95 LE,15.8%,Imtenan,Imtenan,in stock,Give your meals the goodness of the Imtenan Cargo Brown Rice that helps you to keep obesity at bay. This fiber-rich rice promotes slow digestion to help maintain your glucose levels at normal. It prevents hunger between meals and keeps you full all day long. People with diabetes and cholesterol can benefit from it. It will keep your heart healthy too.,,,,,,,,,,
4762,Indomie SuperMi Vegetable Flavour 70g,6.5  LE,7.99 LE,18.6%,Indomie,Indomie,in stock,Savor into the delicious Indomie Vegetable Flavor Super Mi Noodles. It has a soft texture that perfectly melts into your mouth. It is an ideal snack when you are cramped up for time. The Vegetable flavor tantalizes your taste buds with its impeccable taste. It contains nutrients that help boost your overall immunity. ,,,,,,,,,,
4798,Indomie Beef Flavour Instant Noodles 70g,6.5  LE,7.99 LE,18.6%,Indomie,Indomie,in stock,The Indomie Beef Flavor Instant Noodles are a great meal for your outings. The instant noodles require the least preparation time. They pack a great taste and keep you full for the longest.,,,,,,,,,,
5229,Nestle Fitness Honey & Almond 355g,214.99  LE,254.5 LE,15.5%,Nestle,Nestle,in stock,"A perfect blend of taste and nutrition, the Nestle Honey &amp; Almond Fitness Toasties make for an excellent snack. It is packed with nutrients that help to maintain your overall health and wellbeing. Flavored with honey and almonds, it adds a crunchy and sweet delight to your palette.",,,,,,,,,,
5485,Nescafe Gold Instant Coffee - 190g,439.45  LE,488.99 LE,10.1%,Nescafe,Nescafe,in stock,"Enjoy the rich taste and well-rounded taste of the Nescafe Gold Instant Coffee. It is made from 100% natural Arabica and Robusta coffee beans that offer an authentic coffee taste on every sip. Also, its freeze-dried technology seizes the acute coffee fragrance in every grain. This aromatic and delicious coffee makes every break a perfect one.",,,,,,,,,,
5551,Coffee Mate Coffee Creamer - 400g,144  LE,160 LE,10%,Nestle,Nestle,in stock,Start your day on a refreshing note with a hot cup of coffee using the Coffee Mate Coffee Creamer. It is sugar-free that makes it ideal for those seeking to avoid sweets. The strong and intense formulation offers an instant boost in energy.,,,,,,,,,,
5573,Royal Mint Green Tea 25Bags,24.95  LE,32.5 LE,23.2%,Royal,Royal,in stock,"The Royal Green Tea with Mint instantly wakes you up with its soothing aroma and distinctive flavor. All the ingredients are carefully picked to deliver you with a premium quality product. This Royal tea is rich in antioxidants and boosts your immune system to keep you healthy and fit. The peppermint freshens your breath and also delivers a distinctive aroma and flavor to the tea, elevating its overall essence. ",,,,,,,,,,
5574,Royal Green Tea - 25 Bags,24.95  LE,32.5 LE,23.2%,Royal,Royal,in stock,The Royal Green Tea lets you get into that fitness regime with its metabolism-boosting properties. The ingredients are picked carefully to deliver you with a top-quality product. This Royal tea is rich in antioxidants and boosts your immune system to keep you healthy and fit. This green tea keeps your breath fresh and helps you improve digestion. It has a distinctive aroma and full-bodied flavor that elevates its overall essence. ,,,,,,,,,,
5605,Royal Hibiscus Herbs Tea - 50 Bags,52.25  LE,66 LE,20.8%,Royal,Royal,in stock,"Kick-start your mornings with a refreshing cup of Royal Hibiscus Herbs Tea. All the ingredients are carefully picked to deliver you with a premium quality product. This Royal tea is rich in antioxidants and boosts your immune system to keep you healthy and fit. The hibiscus promotes liver health and also delivers a distinctive aroma and flavor to the tea, elevating its overall essence. ",,,,,,,,,,
5606,Royal Anise - 50 Bags,52.25  LE,66 LE,20.8%,Royal,Royal,in stock,Royal Anise - 50 Bags,,,,,,,,,,
5628,Royal Mint Tea - 20 Bags,25.5  LE,29.5 LE,13.6%,Royal,Royal,in stock,The minty essence of this Royal Green Peppermint Tea gives you a perfect start for the day. The ingredients are picked carefully to deliver you with a top-quality product. This Royal tea is rich in antioxidants and boosts your immune system to keep you healthy and fit. The peppermint freshens your breath and helps you improve digestion. It has a distinctive aroma and full-bodied flavor that elevates its overall essence. ,,,,,,,,,,
6302,Hero Strawberry Jam - 350g,61.95  LE,73.99 LE,16.3%,Hero,Hero,in stock,"The Hero Strawberry Jam is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. You can enjoy it best with bread or bagel or spread it on a crunchy snack. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste. Strawberry has high fiber, vitamins and antioxidant content that helps to make your breakfast a healthy and delicious one.
",,,,,,,,,,
6303,Hero Apricot Jam - 350g,67.99  LE,80.99 LE,16.1%,Hero,Hero,in stock,"The Hero Apricot Jam is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. You can enjoy it best with bread or bagel or spread it on a crunchy snack. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste. Apricot has high vitamins, minerals and antioxidant content that helps to make your breakfast a healthy and delicious one.
",,,,,,,,,,
6305,Hero Orange Jam - 350g,61.95  LE,73.99 LE,16.3%,Hero,Hero,in stock,"The Hero Orange Jam is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. You can enjoy it best with bread or bagel or spread it on a crunchy snack. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste. Orange is high on Vitamin C content that helps to make your breakfast a healthy and delicious one.
",,,,,,,,,,
6307,Hero Mixed Fruits Jam - 350g,61.95  LE,73.99 LE,16.3%,Hero,Hero,in stock,"The Hero Mixed Fruits Jam is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. You can enjoy it best with bread or bagel or spread it on a crunchy snack. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste. Mixed Fruits contains various nutrients including potassium, fiber, vitamin C and folate that help to make your breakfast a healthy and delicious one. 

",,,,,,,,,,
6308,Hero Fig Jam - 350g,61.95  LE,73.99 LE,16.3%,Hero,Hero,in stock,"The Hero Fig Jam is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. You can enjoy it best with bread or bagel or spread it on a crunchy snack. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste. Figs are a good source of calcium and fiber that helps to make your breakfast a healthy and delicious one
",,,,,,,,,,
6348,El Rashidi Strawberry Jam - 700g,54.99  LE,69.25 LE,20.6%,El Rashid El-Mizan,El Rashid El-Mizan,in stock,"Layer your toast with the delicious El Rashidi El Mizan Strawberry Jam to savor a burst of its fruity flavor. Derived from fresh strawberries, this jam epitomizes purity and indulging sweetness. It has a smooth taste that would make you reminisce succulent fresh fruits.",,,,,,,,,,
